Dataset Name, Distinct Words : Total Words Ratio, Class Imbalance, Class Shannon Diversity, Maximum Unigram Hellinger Distance, Mean Unigram Mutual Information Between Classes, Difficulty Measure
AG,0.025327783553133743,0.0,1.3862943611198906,0.6463665030824435,1.232916638595373,3.290905286350841
AMAZON_BINARY,0.008416327863874327,0.0,0.6931471805599453,0.8394103036443498,1.7518253013124299,3.292799113380599
AMAZON_FULL,0.008790538662646934,0.0,1.6094379124341005,0.9035759906139016,1.8024591651653912,4.32426360687604
AT_and_ATIS_Int,0.05138008912601934,0.1450510032507566,0.682590080374581,0.3235432894158522,1.2391563537204489,2.441720815887658
AT_and_ClassicLit,0.038651167999749964,0.5993850641543648,0.5008283692726274,0.5085865470010404,1.1157973550840357,2.763248503511818
AT_and_CM_and_DFG_and_DT_and_NYR_10_and_SDC_and_TE,0.09434510568913246,0.6091872168266952,1.6383750245137236,0.585333111380185,0.4635076455925309,3.390748104002267
ATIS_Int,0.007962633451957295,1.4725519558785929,1.1312041110916744,0.6545948961637982,0.38164054009397735,3.6479541366800006
ATIS_Int_and_ClassicLit,0.03434013063716428,0.6830480627248716,0.4371340245944303,0.31129837212157807,1.123409362048278,2.5892299521263222
ATIS_Int_and_CM,0.06846243907299615,0.554214402618658,0.5305449725187517,0.4384883244992823,1.1156114353095363,2.7073215740192245
ClassicLit,0.03683453237410072,0.7699128158265208,1.0221902910602925,0.6471781077246967,0.9380851975231423,3.414200944508753
ClassicLit_and_CM,0.04051589485741487,0.8976846644169478,0.2019099201689964,0.42086709104052245,1.1346763414980297,2.6956539119819114
ClassicLit_and_DFG,0.0446011835777902,0.6611337942920454,0.4549861856378494,0.46697620887154623,1.0091424611751443,2.636839833554376
ClassicLit_and_LMRC,0.025100274245063576,0.07512352793122173,0.6903227481930353,0.6275528682617288,1.3184101208184706,2.7365095394495205
ClassicLit_and_RS,0.037855706874840585,0.9018995515273898,0.19570913354149863,0.5162409386816403,1.3915406751411583,3.0432460057665276
ClassicLit_and_SST,0.021871053845662247,0.6092036930178881,0.4939563460877521,0.5515742486811357,1.3647438812559698,3.041349222888408
ClassicLit_and_TE,0.051427278875914306,0.18567945217480175,0.6758083047767317,0.5347896058637567,1.2336934365857672,2.6813980782769717
CM,0.2165001641574035,0.8592452830188678,0.8595484289840192,0.479708856607604,0.6909454660247554,3.10594819879265
CM_and_AT,0.08739216307365519,0.6453740949316171,0.4672944346274168,0.4568116248995674,1.1104295632608967,2.767301880793153
